,,,,,,,,,
Pre-hit context,Hit string,Post-hit context,File name,Transcript ID,Speaker ID,Speaker gender,Speaker role,Speaker native speaker status,
"  you wouldn't find these kind of mixings because, in the INFL, f- phrase, and also, like things",like," no quiero   to talk, we wouldn't find thi", Bilingualism Student Presentations ,STP355MG011,S6,F,SG,NNS,
"onversation and, makes me, um... it makes, it makes the different, and not ordinary become ordinary.",like,", a gay guy he's different you're talking to a a gay guy. (but) once you get to know him you're talk", Multicultural Issues in Education Student Presentations ,STP285SU013,S8,M,SU,NS,
"  yeah so, okay  is,  is there gonna be one",like,this on the exam do you think?   , Intro Biology Exam Review ,OFC175JU145,S2,F,JU,NS,
"  can you like check out like, C-Ds from another library like an-",like,", the undergraduate library. you can like check out C-Ds like you you can check out books?   ", Media Union Service Encounters ,SVC999MX104,S36,M,UN,NS,
" younger age um, how to be structured and stuff like that. um whereas if there is no like set leader",like,", person ru- like leading the f- ruling the family um people tend to not develop um structured eatin", Teaching Biochemistry Student Presentations ,STP175SU141,S18,F,SU,NRN,
"uz i, i think it assumes that's the only option, that's the only means that you can protect, an area",like,that.   i was gonna say the sam, Graduate Public Policy Seminar ,SEM340JG072,S8,M,JG,NS,
"ee at the university, he's not just an outsider and a very good friend of, Harvey's, so. alright i'd",like,"to introduce Harvey Banks, who is a, very good friend. and basically Harvey is a computer maven. eve", Problem Solving Colloquium ,COL999MX059,S1,F,JF,NS,
"  no but, i don't mind working up here (because there's these) people walking around (and",like,"noises, but down it's just) (xx)    ", Media Union Service Encounters ,SVC999MX104,S2,M,JU,NS,
"ave a strong push for education, it always comes first. whereas like, in school you could always see",like,"the people whose parents didn't push as hard and, then i- i- like it's really, up to the child and, ", Intro Anthropology Discussion Section ,DIS115JU087,S16,M,JU,NS,
  if you talk to like the admissions people,like,"that's not what they say they say that, they look for the people that take the strong classes and i ", Behavior Theory Management Lecture ,LEL185SU066,S37,M,SU,NS,
"  so do we do the maximum on the energy grade line minus,",like,velocity minus elevation?   , Hydraulics Problem Solving Lab ,LAB205SU045,S6,F,SU,NS,
"e time, and they don't want that to happen on the same sides. so it's more st_ because there's kinda",like,"partial bonds happening or like,   ", Organic Chemistry Study Group ,SGR200JU125,S4,M,JU,NS,
ould be interesting to hear now. okay what  value would  you guys pick? we have,like,done all kinds of K-value calculations.   , Hydraulics Problem Solving Lab ,LAB205SU045,S1,M,SG,NRN,
" the only other, um instance of like_ at like, um, besides, um, Rebekah at the well of the kiss, was",like,"Song of Songs. and then, um, i remembered my cousin's a folk singer, and um she wrote a song based o", Women in the Bible Lecture ,LES605SU080,S6,F,JU,NS,
oo hoo hoo    it sounds,like,an owl   (that's odd)  , Biology of Birds Field Lab ,LAB175SU026,SU-f,F,SU,NS,
"ialism and English how um Indian immigrants usually have, had exposure to English in schools rather,",like,"compared to, most other Asian  immigrants  that don't. so that almost puts them", Anthropology of American Cities Office Hours ,OFC115SU060,S6,F,SU,NS,
shadows flee  so it's all about a night of lovemaking.  turn my beloved be,like,"a gazelle, or a young stag upon a rugged mountain,  or upon upon rugged mountains. those are t", Women in the Bible Lecture ,LES605SU080,S1,F,JF,NS,
"esting to look at something like this, a- to look at this kind of a chart, and and do something just",like,"this, and um, wh- what uh the folks who did this survey found, was that i- if they if you ask people", Medical Anthropology Lecture ,LEL115SU005,S1,F,JF,NS,
  prayers   i went to bed at,like,"two and woke up at like, ten forty-five.   ", Math Study Group ,SGR385SU057,S2,F,SU,NS,
  you wouldn't know that it's a_ here's here's,like,"a really obvious thing you wouldn't know like that it's, a building, right? until, you start organiz", Philosophy Discussion Section ,DIS475MU012,S1,F,SG,NS,
"ke and i always feel like for high school i like high-school-aged students, i like them in groups of",like,"eight or fewer, i get kinda when there's like forty fifteen-year-olds i just kinda, get a little imp", Academic Advising ,ADV700JU047,S2,F,ST,NS,
     right so it,like,it c-  can you predict  you know what it's gonna  be?   , Organic Chemistry Study Group ,SGR200JU125,S2,M,JU,NS,
   so how do you reconcile this with,like,", i mean doesn't she say that uh the existence and the identity are just two different ways of sayin", Objectivism Student Group ,SGR999MX115,S3,M,SG,NS,
"s- so used to being like the breadwinner, like that's all they did so they have a hard time becoming",like,", the primary caregiver, and like having to deal with all those things that a mom would have to deal", American Family Group Project Meeting ,SGR565SU144,S5,F,SU,NS,
   yeah  it's it's,like,this. right? except it never has this part it's al- the cell always looks like this. and it just k- , Intro Biology Study Group ,SGR175MU126,S1,F,SU,NS,
"  (amount of) time? like distance, that would probably be",like,"three hours   just to w- well, ", Astronomy Peer Tutorial ,OFC150MU042,S11,M,SU,NS,
" of something that people have generated to kind of like hush the feminist movement, you know to_ so",like,make it seem bad so people don't declare it as much so they're not as  (xx)   , Women in Science Conference Panel ,COL999MX040,S10,F,JG,NS,
" might help you set up the kind of description that, um i assume you're gonna do of the mall, um, of",like,how malls b- because of how they're built become places to socialize  and  and , Anthropology of American Cities Office Hours ,OFC115SU060,S2,F,SG,NS,
", his friend had a problem with him, like they got into a fight and this friend, it was his friend's",like,"lover's brother or something and so, he beat up his lover and the brother  came  ", Academic Advising ,ADV700JU047,S4,M,JU,NS,
 P-C-R because yours would be longer than mine so when it went_ when we did P-C-R on it you'd end up,like,", your_ longer fragments than i would mine would be shorter.   ", Intro Biology Study Group ,SGR175MU126,S4,F,SU,NS,
" effects that you can have you can start out with just depression but lead to, more dangerous things",like,"cardiovascular disease schizophrenia a- uh anorexia, so you know it's not that good to have high lev", Teaching Biochemistry Student Presentations ,STP175SU141,S17,F,SU,NRN,
"n?   right, yeah cuz like, when",like,"you have a leaving group going this way, and then, something coming in this way, so it switches arou", Organic Chemistry Study Group ,SGR200JU125,S2,M,JU,NS,
hings,like, D-N-A polymerase  and  R-N-A polymerase things like that.   , Intro Biology Study Group ,SGR175MU126,S1,F,SU,NS,
hat notes.   like the last part,like,or the last of the list?   well, Math Study Group ,SGR385SU057,S3,F,SU,NS,
"lots of pictures of that, and all the different, alpha, there's like three alpha and three beta. and",like,", there's like an empty space.  there's one with A-D-P    ", Biochemistry Study Group ,SGR175SU123,S2,M,SU,NS,
